Participant,Pretest.Type,Motivation.Score,Strategy.Score,Pretest.Score,Posttest.Score,Avg.PupilSize,text_1.Hit,text_1.Duration,text_2.Hit,text_2.Duration,text_3.Hit,text_3.Duration,text_4.Hit,text_4.Duration,text_5.Hit,text_5.Duration,text_6.Hit,text_6.Duration,text_7.Hit,text_7.Duration,table.Hit,table.Duration,membrane_top.Hit,membrane_top.Duration,membrane_bottom.Hit,membrane_bottom.Duration,membrane_left.Hit,membrane_left.Duration,membrane_right.Hit,membrane_right.Duration,k_1.Hit,k_1.Duration,k_2.Hit,k_2.Duration,k_3.Hit,k_3.Duration,k_4.Hit,k_4.Duration,k_5.Hit,k_5.Duration,k_6.Hit,k_6.Duration,k_7.Hit,k_7.Duration,formula_1.Hit,formula_1.Duration,formula_2.Hit,formula_2.Duration,formula_3.Hit,formula_3.Duration,cl_1.Hit,cl_1.Duration,cl_2.Hit,cl_2.Duration,cl_3.Hit,cl_3.Duration,channel_1.Hit,channel_1.Duration,channel_2.Hit,channel_2.Duration,channel_3.Hit,channel_3.Duration,channel_4.Hit,channel_4.Duration,channel_5.Hit,channel_5.Duration,graph_1.Hit,graph_1.Duration,graph_2.Hit,graph_2.Duration,K+ ions.Hit,K+ ions.Duration,electrical gradient.Hit,electrical gradient.Duration,Na channel.Hit,Na channel.Duration,chemical gradient.Hit,chemical gradient.Duration,Resting membrane potential.Hit,Resting membrane potential.Duration,Na-K Pump.Hit,Na-K Pump.Duration,k channel.Hit,k channel.Duration,cl channel.Hit,cl channel.Duration,Cl- ions.Hit,Cl- ions.Duration,permeability.Hit,permeability.Duration,axon.Hit,axon.Duration,na ions.Hit,na ions.Duration,neuron.Hit,neuron.Duration,diffusion.Hit,diffusion.Duration
Balblair_3_1,T,25,29,0,5,15.01921449,7,1742,38,15076,37,16272,12,5620,9,1565,10,2139,0,0,0,0,67,23360,54,11916,40,15764,90,39870,10,6627,20,10466,16,5592,29,12769,64,23106,14,2393,7,1414,95,27203,51,15047,81,17895,59,15461,2,571,38,10452,133,49954,50,13446,17,3503,103,52263,7,1442,14,2996,45,8936,37,12417,32,8587,39,12001,64,18880,35,10103,16,6972,52,20054,2,295,36,16787,9,2826,15,6697,14,2688,5,1692,26,7681
Balblair_3_2,T,28,30,0,5,13.12749028,8,2667,2,212,0,0,37,9902,20,5802,19,6294,0,0,0,0,17,4100,33,9960,7,2059,8,2206,0,0,0,0,16,3671,0,0,9,2380,0,0,1,200,47,13369,12,2627,45,11970,33,8698,0,0,17,4013,19,11711,20,7577,2,611,38,12654,3,539,9,1752,0,0,10,2577,2,787,8,2447,21,6073,33,7945,6,1618,9,3016,0,0,4,1266,15,3190,3,634,5,1131,2,171,3,923
Clynelish_1_1,S,28,30,3,8,12.33565449,14,3492,29,7580,27,11684,11,2238,18,3394,6,694,0,0,2,798,79,25274,67,18887,13,8839,73,19492,5,4061,26,8640,28,7054,35,13031,46,11352,14,4061,10,3023,69,13739,115,33976,68,15997,59,18130,1,228,37,9654,210,55440,39,9887,30,6625,45,13629,12,3471,16,2892,28,11130,4,505,19,4239,22,5950,13,5088,23,4259,27,6180,17,4118,26,9977,23,7172,0,0,4,762,8,1375,8,1533,1,291
Clynelish_1_2,S,30,28,0,4,11.22325784,2,507,1,55,0,0,2,263,0,0,0,0,2,358,0,0,5,784,62,9518,2,367,13,1775,0,0,2,211,9,1012,2,471,1,543,1,83,0,0,52,6420,1,60,232,36310,8,874,0,0,32,3715,24,3070,5,567,1,179,21,2123,0,0,7,1136,57,6545,5,670,5,473,54,6861,3,473,10,1959,36,5661,29,5262,12,1803,3,419,1,192,0,0,12,2077,1,67,0,0
Clynelish_2_1,S,27,20,0,4,17.0159188,15,5717,93,27822,39,9238,4,466,25,4702,7,612,0,0,1,131,28,8742,25,5010,9,1268,26,6802,6,819,3,1737,6,1395,12,3939,40,11380,16,2540,12,1983,58,17014,64,17193,12,975,13,2677,2,730,65,25945,97,27152,12,3211,21,3821,40,15375,5,2522,14,3055,9,1018,13,5720,158,42085,15,2424,48,12316,94,22820,23,3479,5,593,15,2904,5,2696,21,3141,0,0,9,1362,0,0,22,11428
Clynelish_2_2,T,28,33,0,3,6.150044964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,634,4,534,0,0,29,9477,0,0,0,0,0,0,1,67,0,0,0,0,0,0,8,4045,0,0,0,0,0,0,0,0,0,0,9,1359,0,0,0,0,0,0,0,0,0,0,0,0,10,1117,68,7782,34,8024,3,257,15,1375,31,3874,9,2253,7,864,3,229,113,20692,2,222,8,840,1,75,84,13594
Clynelish_3_1,S,34,31,6,5,17.07584934,3,2193,36,21626,15,11672,10,4794,34,13426,22,10705,1,219,4,1610,40,23980,40,14838,5,5390,15,9597,4,1686,10,4067,18,8647,30,14587,57,22168,7,2265,2,640,135,55462,64,28404,109,38526,40,16435,5,1839,106,62149,173,60085,30,12752,14,8683,69,37331,11,8065,21,6864,51,21814,42,15792,83,31266,78,25399,159,49702,148,53656,75,42163,35,12656,2,682,1,304,39,13506,17,6192,50,19611,7,3532,13,3058
Clynelish_3_2,S,29,29,0,5,12.22040149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dufftown_1_1,T,29,30,0,5,14.35,1,239,35,5175,27,7221,0,0,15,2221,6,1996,0,0,8,1384,25,7499,36,6513,7,2146,21,3572,7,1831,13,4763,10,1976,32,7777,16,2817,4,672,6,880,92,30597,25,6063,76,14317,10,2102,11,2049,46,8747,99,16103,30,12375,19,3725,16,6342,10,7733,25,2730,45,4609,9,2866,30,15471,22,8624,103,43089,64,25188,25,7151,30,13304,25,10842,2,1178,115,54647,3,2785,34,12110,4,413,64,35546
Dufftown_1_2,T,38,36,0,6,12.23571429,9,1865,53,11836,9,1498,25,7591,13,4115,20,8456,7,1642,8,2391,47,8740,59,17208,26,6569,66,23255,4,474,7,1535,20,3255,11,1401,15,2403,13,1890,0,0,89,14336,36,5818,150,38168,16,3774,2,263,47,12952,89,27128,17,3544,16,3083,29,7002,7,1381,25,6401,88,37649,25,3393,13,1685,27,7122,126,22014,83,14899,27,4312,20,3694,21,5261,5,570,122,26786,19,1866,40,7233,2,349,77,17198
